"artist","song","mean_millennial_recognition","mean_gen_z_recognition"
"Milli Vanilli","All Or Nothing",0.0874693464013853,0.0458867906784573
"Monica","Angel Of Mine",0.321266353684792,0.0908355747091305
"Monica","Don't Take It Personal",0.165648932806219,0.0716398751692869
"Monica","For You I Will",0.419984209378147,0.20485036119711
"Monica","The First Night",0.152666374791097,0.0804856966941366
"Montell Jordan","Let's Ride",0.121950256817115,0.0817080093395883
"Montell Jordan","This Is How We Do It",0.845502599589357,0.623134994931334
"Mr. Big","To Be With You",0.562953970933378,0.189201740165791
"Nelson","Can't Live Without Your Love And Affection",0.0925765654118,0.0712297068041071
"New Edition","Hit Me Off",0.139811756701514,0.0698447609737932
"New Kids On The Block","Step By Step",0.277715176598711,0.184324090201105
"Next","Too Close",0.45576149274852,0.139804292929293
"Nicki French","Total Eclipse Of The Heart",0.675354960380444,0.469983879466638
"Notorious B.I.G., The","Hypnotize",0.633514480291171,0.436283213765483
"Notorious B.I.G., The","Mo Money, Mo Problems",0.627423707637687,0.347401428980376
"Notorious B.I.G., The","One More Chance-Stay With Me",0.373618145389953,0.143114658225485
"Notorious B.I.G., The","The What",0.393078890624578,0.33280649540518
"Onyx","Slam",0.368438135710712,0.231713628798028
"PM Dawn","I'd Die Without You",0.0484101513906194,0.0228978978978979
"PM Dawn","Set Adrift On Memory Bliss",0.167694426233844,0.0669281045751634
"Patty Smyth","Sometimes Love Just Ain't Enough",0.210633563401089,0.104734113728432
"Paula Abdul","Opposites Attract",0.322589176033034,0.153124123094412
"Paula Abdul","Rush Rush",0.16363194896768,0.0837890424440952
"Paula Abdul","The Promise Of A New Day",0.109906238368964,0.0431156606026282
"Peabo Bryson and Regina Bell","A Whole New World",0.855389990692236,0.700489771666242
"Pearl Jam","Last Kiss",0.557767890731942,0.190108617389319
"Pebbles","Giving You The Benefit",0.0883538999158209,0.0751652647968959
"Phil Collins","Do You Remember?",0.146978825778811,0.120687919338381
"Phil Collins","I Wish It Would Rain Down",0.177685252858848,0.0958685857826404
"Phil Collins","Something Happened On The Way To Heaven",0.433985831839305,0.322765244776539
"Poison","Something To Believe In",0.117603962309376,0.0982636123940472
"Poison","Unskinny Bop",0.198513614795949,0.10839669584264
"Prince","Diamonds And Pearls",0.0635322645245603,0.104577521244188
"Proclaimers, The","I'm Gonna Be",0.867221282465091,0.645166353305026
"Puff Daddy and Faith Evans","I'll Be Missing You",0.893364277632122,0.647585458790362
"Puff Daddy","Been Around The World",0.354349400804824,0.160649551597827
"Puff Daddy","Can't Nobody Hold Me Down",0.452602377469291,0.364862114862115
"Puff Daddy","Satisfy You",0.218196841134537,0.151638189232161
"Quad City DJ's","C'Mon N' Ride It",0.346534169934765,0.0758447172240276
"R. Kelly","Bump N' Grind",0.267914834347549,0.0995988351456959
"R. Kelly","Down Low",0.0970592626170759,0.0344658944658945
"R. Kelly","I Believe I Can Fly",0.962349709280719,0.819578741797448
"R. Kelly","I'm Your Angel",0.326991790080197,0.148697334552598
"R. Kelly","You Remind Me Of Something",0.148955024549074,0.0725755725755726
"R.E.M.","Losing My Religion",0.892840721984059,0.741027053588029
"Ralph Tresvant","Sensitivity",0.120362544024081,0.0851381461364299
"Real McCoy","Another Night",0.749767919199301,0.437278248133462
"Real McCoy","Run Away",0.512466651186139,0.216579324422462
"Red Hot Chili Peppers","Under The Bridge",0.835011970607418,0.542599841089051
"Ricky Martin","Livin' La Vida Loca",0.922836785183773,0.789866597683809
"Ricky Martin","She's All I Ever Had",0.273572950549434,0.111142840310391
"Right Said Fred","I'm Too Sexy",0.717086079387864,0.305008417508418
"Rod Stewart","Downtown Train",0.202166522434594,0.0666398282340311
"Roxette","Dangerous",0.0839040082370404,0.101179366125018
"Roxette","Fading Like A Flower",0.136528580519002,0.158110676659064
"Roxette","It Must Have Been Love",0.619189185184276,0.429107820284291
"Roxette","Joyride",0.264710707611886,0.152384817569711
"SWV","Right Here",0.225372053526086,0.104764542927321
"SWV","Weak",0.140010722164264,0.0812815656565657
"Salt 'N Pepa","Shoop",0.469306796583974,0.260809071103189
"Salt 'N Pepa","Whatta Man",0.760461710926209,0.432135461144749
"Santana","Smooth",0.930520679997966,0.569471000176327
"Sarah McLachlan","Adia",0.434715643523506,0.12563792412676
"Sarah McLachlan","Angel",0.538447266345151,0.193381433381433
"Savage Garden","I Knew I Loved You",0.715085855661682,0.301115859449193
"Savage Garden","I Want You",0.559080716674952,0.137609995368616
"Savage Garden","Truly Madly Deeply",0.633496168201243,0.195978250649904
"Scorpions","Wind Of Change",0.247488365297112,0.31258872085485
"Seal","Kiss From A Rose",0.877161582684379,0.51486557678368
"Seduction","Two To Make It Right",0.224287750138172,0.140453789042499
"Shaggy","Boombastic",0.604677127602295,0.371050860592218
"Shai","If I Ever Fall In Love",0.193998293135974,0.0707374040707374
"Shania Twain","From This Moment On",0.487531514984844,0.22490107786177
"Shania Twain","You're Still The One",0.81529426904923,0.302973808007178
"Shanice","I Love Your Smile",0.197253796107514,0.0748084152689416
"Shanice","Saving Forever For You",0.151422483719232,0.141782002913041
"Sheryl Crow","All I Wanna Do",0.75842629593559,0.329596082557659
"Silk","Freak Me",0.112818597278689,0.0650494159928122
"Sinead O'Connor","Nothing Compares 2 U",0.294269804194679,0.13950365366774
"Sir Mix-A-Lot","Baby Got Back",0.841019093161263,0.76784532859693
"Sixpence None The Richer","Kiss Me",0.893562754295995,0.66264320517304
"Smash Mouth","All Star",0.95183183955656,0.923792119186856
"Snap!","The Power",0.920342466677239,0.883444158444159
"Snow","Informer",0.527581636174407,0.29433967362886
"Somethin' For The People","My Love Is The Shhh!",0.19613518489713,0.114810213940649
"Soul For Real","Candy Rain",0.14924074424646,0.0677609427609428
"Spice Girls, The","Wannabe",0.983006662554063,0.926499869434652
"Stevie B","Because I Love You",0.130527845900349,0.140283500206746
"Styx","Show Me The Way",0.157480141434413,0.121050815444408
"Sugar Ray","Every Morning",0.636905525477456,0.259534615852951
"Surface","The First Time",0.0757188543906455,0.0627547208006978
"Sweet Sensation","If Wishes Came True",0.0548862884485872,0.0515673149601721
"TLC","Baby-Baby-Baby",0.116890180123992,0.0785323545849862
"TLC","Creep",0.418878961946193,0.155975401010862
"TLC","No Scrubs",0.893036084626158,0.667104309897821
"TLC","Red Light Special",0.194438932376321,0.0666931216931217
"TLC","Unpretty",0.514645189883143,0.214719914719915
"TLC","Waterfalls",0.846265364930983,0.496891996891997
"Tag Team","Whoomp! There It Is",0.815550113973258,0.51433567610662
"Tara Kemp","Hold You Tight",0.0503953952916959,0.0372918317711038
"Taylor Dayne","I'll Be Your Shelter",0.0858426746283865,0.0734875257361578
"Taylor Dayne","Love Will Lead You Back",0.0543237304395671,0.0317228255824747
"Technotronic","Pump Up The Jam",0.645439081733161,0.424566186340787
"Third Eye Blind","Semi-Charmed Life",0.731401717086385,0.439704184852745
"Timmy T","One More Try",0.0925438216833522,0.103402557195127
"Tommy Page","I'll Be Your Everything",0.0714831811153844,0.060916271883253
"Toni Braxton","Breathe Again",0.184933654963056,0.124834041500708
"Toni Braxton","Un-Break My Heart",0.901616287412525,0.584686740240068
"Toni Braxton","You're Makin' Me High",0.224079202829203,0.114048352246882
"Tony Rich Project","Nobody Knows",0.240938870135762,0.0544106298176008
"Tracie Spencer","This House",0.0490235353804974,0.0578374700191338
"Tracy Chapman","Give Me One Reason",0.448424744892074,0.125487261187058
"UB40","Can't Help Falling In Love",0.505889812282141,0.271713522236318
"Usher","My Way",0.233809986662367,0.156916517803726
"Usher","Nice and Slow",0.198725025972212,0.0810818789690817
"Usher","You Make Me Wanna..",0.428589042924803,0.136889308946573
"Vanessa Williams and Brian McKnight","Love Is",0.206816967307087,0.0963082430083865
"Vanessa Williams","Colors Of The Wind",0.650754129611723,0.331696870667459
"Vanessa Williams","Save The Best For Last",0.422470305076337,0.123492793595075
"Vanilla Ice","Ice Ice Baby",0.682883088907992,0.460387068370577
"Vanilla Ice","Play That Funky Music",0.535401215614164,0.299518010507801
"Warren G","Regulate",0.447886325084568,0.196755412609071
"Whitney Houston","All The Man That I Need",0.208638052527614,0.130492926798151
"Whitney Houston","Exhale",0.320279394911305,0.194272507868999
"Whitney Houston","Heartbreak Hotel",0.239349071856693,0.0947279646530403
"Whitney Houston","I Believe In You And Me",0.31906154077984,0.263933815111351
"Whitney Houston","I Have Nothing",0.525907608622083,0.403866656415382
"Whitney Houston","I Will Always Love You",0.906713865872867,0.852950885796144
"Whitney Houston","I'm Every Woman",0.612103765202151,0.311195456590193
"Whitney Houston","I'm Your Baby Tonight",0.283941632927285,0.124013289929805
"Whitney Houston","It's Not Right But It's Okay",0.487116062177901,0.217454639513463
"Will Smith","Gettin' Jiggy Wit It",0.754669599939436,0.430956472434877
"Will Smith","Wild Wild West",0.757087806597247,0.280826679414588
"Wilson Phillips","Hold On",0.555076870890871,0.22856087979178
"Wilson Phillips","Impulsive",0.104148668256737,0.0773623848167459
"Wilson Phillips","Release Me",0.127726885649481,0.0602857434283383
"Wilson Phillips","You're In Love",0.130290049569802,0.0601262772315404
"Wreckx-N-Effect","Rump Shaker",0.46910117708596,0.148084561570169
"Xscape","Just Kickin' It",0.0921544680321669,0.0529230178423727
"diVINYLS","I Touch Myself",0.356766583123234,0.0939433422639097
